party_identification,political_viewpoint,marital_status,sex,cohort
Not Very Strong Democrat,Moderate,Widowed,Male,Boomer
Other Party,Liberal,Never Married,Male,Gen X
Other Party,Slightly Conservative,Separated,Male,Millenial
Strong Republican,Slightly Liberal,Widowed,Male,Boomer
Independent (Neither),Liberal,Separated,Female,Millenial
Not Very Strong Democrat,Slightly Liberal,Separated,Female,Millenial
Strong Republican,Slightly Liberal,Separated,Female,Gen Z
"Independent, Close to Republican",Slightly Liberal,Married,Female,Gen Z
Independent (Neither),Slightly Conservative,Separated,Female,Boomer
Not Very Strong Republican,Slightly Conservative,Married,Female,Gen X
Not Very Strong Republican,Extremely Liberal,Divorced,Female,Gen Z
Strong Republican,Moderate,Married,Female,Millenial
Strong Democrat,Conservative,Separated,Male,Gen X
"Independent, Close to Democrat",Slightly Conservative,Divorced,Female,Boomer
Other Party,Conservative,Never Married,Female,Post-War
Not Very Strong Democrat,Slightly Conservative,Widowed,Male,Post-War
Independent (Neither),Slightly Conservative,Divorced,Female,Boomer
"Independent, Close to Republican",Slightly Liberal,Divorced,Male,Millenial
"Independent, Close to Democrat",Conservative,Married,Male,Gen X
Other Party,Liberal,Separated,Female,Post-War
"Independent, Close to Democrat",Extremely Conservative,Widowed,Female,Millenial
Other Party,Slightly Conservative,Separated,Female,Gen X
Other Party,Liberal,Separated,Female,Boomer
Not Very Strong Democrat,Slightly Conservative,Divorced,Female,Boomer
"Independent, Close to Republican",Extremely Conservative,Married,Female,Gen Z
Strong Democrat,Slightly Conservative,Widowed,Male,Post-War
Not Very Strong Democrat,Extremely Liberal,Never Married,Male,Gen Z
Not Very Strong Democrat,Extremely Conservative,Never Married,Male,Post-War
"Independent, Close to Republican",Liberal,Married,Female,Gen Z
Not Very Strong Democrat,Conservative,Widowed,Female,Millenial
"Independent, Close to Democrat",Slightly Liberal,Widowed,Female,Millenial
Strong Democrat,Slightly Conservative,Married,Female,Boomer
"Independent, Close to Republican",Extremely Liberal,Separated,Male,Millenial
Independent (Neither),Extremely Liberal,Widowed,Male,Post-War
Not Very Strong Republican,Slightly Conservative,Married,Female,Post-War
Strong Republican,Slightly Conservative,Separated,Male,Gen X
"Independent, Close to Democrat",Liberal,Married,Male,Post-War
Independent (Neither),Extremely Conservative,Widowed,Male,Gen X
Other Party,Extremely Conservative,Never Married,Female,Gen Z
"Independent, Close to Republican",Moderate,Married,Female,Gen X
Not Very Strong Republican,Extremely Liberal,Divorced,Male,Gen Z
Independent (Neither),Slightly Liberal,Married,Male,Gen Z
Independent (Neither),Moderate,Widowed,Male,Boomer
Other Party,Slightly Conservative,Married,Female,Gen Z
Strong Republican,Slightly Conservative,Married,Male,Boomer
Not Very Strong Democrat,Slightly Liberal,Separated,Female,Millenial
"Independent, Close to Republican",Moderate,Never Married,Female,Millenial
Independent (Neither),Slightly Liberal,Divorced,Male,Gen Z
Strong Republican,Liberal,Married,Male,Gen Z
Strong Democrat,Slightly Liberal,Married,Female,Post-War
Strong Republican,Extremely Liberal,Divorced,Male,Post-War
Not Very Strong Republican,Extremely Liberal,Separated,Male,Boomer
"Independent, Close to Republican",Slightly Conservative,Widowed,Male,Gen Z
Strong Republican,Slightly Conservative,Married,Female,Gen Z
Other Party,Extremely Liberal,Separated,Female,Gen Z
Strong Democrat,Slightly Conservative,Married,Female,Millenial
Not Very Strong Republican,Conservative,Widowed,Female,Millenial
"Independent, Close to Democrat",Moderate,Widowed,Female,Gen Z
Independent (Neither),Slightly Liberal,Divorced,Female,Boomer
"Independent, Close to Democrat",Extremely Liberal,Married,Male,Gen X
Strong Republican,Slightly Liberal,Separated,Male,Millenial
Other Party,Slightly Liberal,Widowed,Male,Boomer
Not Very Strong Democrat,Conservative,Divorced,Male,Post-War
Other Party,Conservative,Married,Male,Post-War
Independent (Neither),Moderate,Married,Male,Gen X
Not Very Strong Republican,Moderate,Widowed,Female,Boomer
Strong Republican,Conservative,Divorced,Female,Millenial
"Independent, Close to Democrat",Slightly Liberal,Never Married,Female,Gen Z
Not Very Strong Republican,Extremely Conservative,Widowed,Female,Gen Z
Other Party,Slightly Liberal,Divorced,Male,Gen X
"Independent, Close to Democrat",Liberal,Never Married,Female,Gen X
Not Very Strong Republican,Liberal,Married,Female,Gen X
Strong Democrat,Liberal,Separated,Male,Gen X
"Independent, Close to Democrat",Extremely Liberal,Married,Female,Post-War
Independent (Neither),Moderate,Never Married,Female,Millenial
"Independent, Close to Republican",Moderate,Separated,Male,Post-War
"Independent, Close to Democrat",Extremely Conservative,Married,Female,Gen Z
Not Very Strong Democrat,Slightly Liberal,Married,Female,Post-War
Other Party,Conservative,Married,Female,Boomer
Not Very Strong Democrat,Slightly Conservative,Divorced,Female,Boomer
"Independent, Close to Democrat",Slightly Liberal,Widowed,Female,Gen Z
Independent (Neither),Liberal,Widowed,Male,Post-War
Not Very Strong Democrat,Liberal,Married,Male,Boomer
Not Very Strong Republican,Slightly Liberal,Divorced,Female,Gen Z
Other Party,Extremely Liberal,Widowed,Female,Gen X
"Independent, Close to Democrat",Slightly Liberal,Married,Male,Boomer
Independent (Neither),Liberal,Married,Male,Millenial
Not Very Strong Democrat,Extremely Conservative,Widowed,Female,Gen X
"Independent, Close to Republican",Moderate,Married,Male,Boomer
Not Very Strong Democrat,Slightly Conservative,Separated,Female,Millenial
"Independent, Close to Democrat",Slightly Conservative,Divorced,Female,Boomer
Not Very Strong Republican,Liberal,Never Married,Male,Post-War
"Independent, Close to Democrat",Slightly Liberal,Divorced,Female,Post-War
Strong Democrat,Extremely Liberal,Never Married,Male,Post-War
Strong Democrat,Extremely Conservative,Widowed,Female,Gen Z
"Independent, Close to Democrat",Slightly Conservative,Divorced,Male,Gen X
Not Very Strong Republican,Slightly Conservative,Married,Male,Gen Z
"Independent, Close to Republican",Slightly Liberal,Never Married,Male,Millenial
Strong Democrat,Moderate,Married,Male,Gen Z
Strong Democrat,Slightly Liberal,Married,Female,Gen X
Strong Republican,Extremely Liberal,Married,Female,Gen Z
Independent (Neither),Extremely Conservative,Divorced,Male,Boomer
Not Very Strong Democrat,Slightly Liberal,Separated,Male,Gen X
"Independent, Close to Republican",Moderate,Divorced,Female,Gen X
Independent (Neither),Extremely Conservative,Married,Female,Gen X
"Independent, Close to Democrat",Extremely Liberal,Never Married,Male,Gen X
"Independent, Close to Democrat",Slightly Liberal,Widowed,Male,Post-War
Other Party,Liberal,Separated,Female,Millenial
"Independent, Close to Democrat",Extremely Liberal,Separated,Male,Gen Z
Not Very Strong Republican,Extremely Liberal,Divorced,Male,Gen Z
Not Very Strong Democrat,Moderate,Separated,Male,Millenial
"Independent, Close to Republican",Liberal,Never Married,Female,Gen Z
Strong Democrat,Slightly Liberal,Widowed,Female,Millenial
"Independent, Close to Democrat",Extremely Conservative,Never Married,Male,Gen X
Not Very Strong Republican,Liberal,Widowed,Female,Gen Z
Not Very Strong Democrat,Moderate,Divorced,Male,Gen X
Other Party,Extremely Conservative,Widowed,Male,Boomer
Independent (Neither),Slightly Liberal,Widowed,Female,Post-War
"Independent, Close to Republican",Conservative,Divorced,Female,Gen Z
"Independent, Close to Democrat",Extremely Liberal,Separated,Male,Gen X
Strong Republican,Extremely Conservative,Married,Female,Gen Z
Strong Republican,Liberal,Widowed,Female,Gen X
Other Party,Slightly Liberal,Never Married,Male,Post-War
"Independent, Close to Democrat",Slightly Liberal,Married,Female,Post-War
Strong Democrat,Liberal,Widowed,Male,Post-War
"Independent, Close to Democrat",Liberal,Separated,Female,Millenial
Other Party,Slightly Liberal,Widowed,Male,Gen X
"Independent, Close to Republican",Moderate,Married,Male,Gen Z
Strong Democrat,Moderate,Married,Female,Millenial
Strong Democrat,Liberal,Married,Female,Gen Z
Not Very Strong Democrat,Extremely Conservative,Widowed,Male,Boomer
Not Very Strong Republican,Slightly Liberal,Married,Female,Millenial
Not Very Strong Democrat,Conservative,Widowed,Female,Millenial
Not Very Strong Democrat,Moderate,Married,Female,Boomer
Strong Democrat,Moderate,Widowed,Male,Post-War
Other Party,Conservative,Separated,Female,Post-War
Strong Republican,Slightly Conservative,Never Married,Female,Millenial
Independent (Neither),Liberal,Divorced,Male,Boomer
"Independent, Close to Republican",Conservative,Widowed,Male,Boomer
"Independent, Close to Republican",Extremely Conservative,Divorced,Male,Boomer
Independent (Neither),Conservative,Widowed,Female,Post-War
Not Very Strong Republican,Slightly Conservative,Married,Male,Boomer
Other Party,Moderate,Widowed,Male,Gen Z
Other Party,Slightly Liberal,Separated,Male,Gen X
Not Very Strong Democrat,Slightly Conservative,Married,Female,Gen X
"Independent, Close to Republican",Conservative,Married,Male,Gen X
Not Very Strong Democrat,Liberal,Divorced,Female,Gen X
"Independent, Close to Democrat",Liberal,Married,Female,Gen Z
Other Party,Slightly Conservative,Never Married,Female,Gen X
"Independent, Close to Democrat",Slightly Liberal,Married,Female,Boomer
Other Party,Liberal,Divorced,Male,Boomer
Strong Democrat,Moderate,Married,Male,Gen X
Other Party,Liberal,Widowed,Male,Millenial
Strong Republican,Extremely Liberal,Married,Female,Millenial
Not Very Strong Democrat,Slightly Conservative,Separated,Female,Gen X
Strong Democrat,Slightly Liberal,Separated,Female,Gen X
"Independent, Close to Democrat",Moderate,Divorced,Female,Gen Z
"Independent, Close to Republican",Liberal,Divorced,Male,Gen X
Not Very Strong Democrat,Liberal,Married,Female,Boomer
Strong Democrat,Moderate,Married,Female,Gen X
Independent (Neither),Slightly Liberal,Widowed,Female,Gen X
Independent (Neither),Extremely Liberal,Widowed,Male,Gen X
"Independent, Close to Democrat",Extremely Conservative,Separated,Male,Millenial
Strong Democrat,Liberal,Never Married,Male,Boomer
Not Very Strong Republican,Conservative,Separated,Female,Gen X
Not Very Strong Democrat,Conservative,Never Married,Female,Gen X
Not Very Strong Democrat,Slightly Conservative,Divorced,Male,Gen Z
Strong Democrat,Slightly Conservative,Never Married,Female,Post-War
Not Very Strong Republican,Slightly Liberal,Separated,Female,Gen X
"Independent, Close to Democrat",Conservative,Separated,Male,Millenial
"Independent, Close to Democrat",Extremely Liberal,Married,Male,Gen Z
"Independent, Close to Democrat",Slightly Conservative,Separated,Male,Post-War
"Independent, Close to Republican",Liberal,Divorced,Male,Gen Z
Not Very Strong Democrat,Slightly Liberal,Married,Female,Gen X
Not Very Strong Democrat,Extremely Liberal,Separated,Male,Post-War
Other Party,Conservative,Separated,Female,Gen Z
Other Party,Moderate,Never Married,Female,Gen X
Independent (Neither),Moderate,Separated,Female,Millenial
Strong Republican,Conservative,Widowed,Female,Boomer
Independent (Neither),Extremely Conservative,Widowed,Male,Post-War
"Independent, Close to Republican",Slightly Conservative,Separated,Female,Millenial
"Independent, Close to Republican",Extremely Liberal,Divorced,Female,Gen X
Independent (Neither),Slightly Liberal,Separated,Female,Millenial
Not Very Strong Republican,Extremely Conservative,Divorced,Female,Boomer
Strong Democrat,Extremely Conservative,Divorced,Male,Gen Z
Not Very Strong Democrat,Extremely Liberal,Separated,Female,Post-War
Strong Democrat,Extremely Conservative,Married,Female,Gen X
Not Very Strong Democrat,Slightly Liberal,Divorced,Male,Millenial
Not Very Strong Republican,Slightly Liberal,Married,Male,Boomer
"Independent, Close to Republican",Slightly Liberal,Separated,Male,Gen Z
Other Party,Slightly Liberal,Divorced,Female,Gen X
Independent (Neither),Conservative,Never Married,Male,Gen X
"Independent, Close to Democrat",Extremely Liberal,Divorced,Female,Gen X
"Independent, Close to Republican",Liberal,Never Married,Female,Millenial
Other Party,Extremely Liberal,Widowed,Male,Post-War
Strong Republican,Liberal,Divorced,Male,Gen X
"Independent, Close to Republican",Extremely Liberal,Widowed,Male,Gen Z
Not Very Strong Democrat,Extremely Liberal,Married,Female,Millenial
"Independent, Close to Republican",Slightly Liberal,Divorced,Female,Gen X
Independent (Neither),Slightly Liberal,Never Married,Female,Post-War
"Independent, Close to Democrat",Conservative,Widowed,Female,Boomer
Independent (Neither),Conservative,Married,Female,Post-War
"Independent, Close to Democrat",Slightly Liberal,Divorced,Female,Millenial
"Independent, Close to Republican",Slightly Liberal,Widowed,Male,Gen Z
"Independent, Close to Republican",Moderate,Divorced,Male,Post-War
"Independent, Close to Democrat",Liberal,Married,Male,Gen X
Independent (Neither),Moderate,Divorced,Male,Post-War
Strong Democrat,Moderate,Divorced,Male,Boomer
Not Very Strong Democrat,Extremely Liberal,Married,Female,Gen X
"Independent, Close to Republican",Extremely Conservative,Never Married,Female,Gen Z
Other Party,Slightly Conservative,Divorced,Male,Boomer
Independent (Neither),Extremely Conservative,Married,Female,Post-War
Other Party,Liberal,Widowed,Female,Gen X
Other Party,Extremely Conservative,Separated,Female,Gen Z
Not Very Strong Republican,Conservative,Divorced,Female,Boomer
Strong Republican,Liberal,Widowed,Male,Post-War
"Independent, Close to Republican",Slightly Conservative,Divorced,Female,Gen Z
Not Very Strong Democrat,Slightly Conservative,Divorced,Male,Gen X
Not Very Strong Republican,Conservative,Divorced,Female,Gen Z
"Independent, Close to Republican",Moderate,Separated,Female,Gen X
Strong Democrat,Slightly Conservative,Separated,Female,Post-War
Other Party,Extremely Liberal,Never Married,Male,Gen Z
Not Very Strong Democrat,Conservative,Divorced,Female,Gen X
Not Very Strong Democrat,Conservative,Never Married,Female,Millenial
Other Party,Extremely Liberal,Separated,Female,Post-War
"Independent, Close to Democrat",Liberal,Never Married,Male,Gen Z
Not Very Strong Republican,Liberal,Separated,Male,Boomer
Strong Republican,Liberal,Divorced,Female,Millenial
Strong Republican,Conservative,Married,Male,Boomer
Independent (Neither),Extremely Conservative,Married,Male,Gen Z
Not Very Strong Democrat,Conservative,Separated,Male,Millenial
Not Very Strong Republican,Liberal,Never Married,Female,Boomer
Independent (Neither),Extremely Liberal,Married,Female,Gen Z
Not Very Strong Democrat,Extremely Liberal,Married,Male,Gen Z
Strong Democrat,Conservative,Married,Female,Boomer
Independent (Neither),Slightly Conservative,Widowed,Female,Gen Z
Not Very Strong Democrat,Moderate,Separated,Female,Post-War
Strong Democrat,Slightly Liberal,Never Married,Female,Boomer
Not Very Strong Republican,Conservative,Separated,Male,Gen X
"Independent, Close to Democrat",Slightly Liberal,Divorced,Female,Gen Z
Strong Democrat,Slightly Liberal,Never Married,Female,Millenial
Strong Democrat,Liberal,Married,Female,Millenial
Independent (Neither),Liberal,Separated,Male,Post-War
"Independent, Close to Republican",Extremely Conservative,Never Married,Male,Post-War
"Independent, Close to Democrat",Conservative,Never Married,Male,Gen X
Not Very Strong Democrat,Extremely Liberal,Widowed,Male,Gen Z
"Independent, Close to Republican",Liberal,Widowed,Male,Post-War
